REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R058,BERGEN STREET                 ,7090,581,42,166,2,2853,8556,0,0,0,17,134,96,1,1370,388,294,0,121,0,0,0,746,0,15,0,                                                                                                    
R059,GRAND ARMY PLAZA              ,13771,2149,173,393,15,5046,14103,0,0,0,17,302,365,11,2311,603,545,0,143,0,0,0,2142,0,37,0,                                                                                                    
R060,EASTERN PARKWAY               ,7669,897,101,203,1,3972,8571,0,0,0,9,120,137,2,1544,243,276,0,134,0,0,0,1141,0,23,0,                                                                                                    
R061,NOSTRAND AVENUE               ,6453,520,131,138,1,5380,6491,0,0,0,5,54,220,5,908,73,147,0,87,0,0,0,1517,0,149,0,                                                                                                    
R062,UTICA AVENUE                  ,39050,2675,891,1225,13,36072,31032,0,0,0,36,329,980,26,4561,368,685,0,214,0,0,0,6015,0,608,0,                                                                                                    
R063,SUTTER AVENUE                 ,12566,894,210,247,10,10267,6385,0,0,0,11,86,539,2,754,31,203,0,43,0,0,0,2702,4,204,0,                                                                                                    
R064,SARATOGA AVENUE               ,9984,621,149,169,1,7907,5026,0,0,0,3,55,332,0,622,46,274,0,44,0,1,0,2328,2,223,0,                                                                                                    
R065,ROCKAWAY AVENUE               ,8432,698,184,245,1,6832,3434,0,0,0,10,24,604,3,544,142,144,0,28,0,3,0,3201,0,170,0,                                                                                                    
R066,JUNIUS STREET                 ,3466,356,63,111,0,3754,1854,0,0,0,2,16,195,4,192,6,30,0,7,1,0,0,1317,0,84,0,                                                                                                    
R067,PENNSYLVANIA AVENUE           ,8059,528,202,164,0,6689,3457,0,0,0,8,31,318,0,560,37,77,0,30,0,0,0,2428,2,110,0,                                                                                                    
R068,VAN SICLEN AVENUE             ,5119,388,78,94,0,4214,2280,0,0,0,12,30,196,0,410,15,56,0,23,1,0,0,1052,2,75,0,                                                                                                    
R069,NEW LOTS AVENUE               ,9027,632,203,249,1,8723,4637,0,0,0,11,28,416,0,739,68,76,0,60,0,0,0,1813,2,145,0,                                                                                                    
R070,ST GEORGE TERMINAL            ,28685,1620,89,399,6,4585,9259,0,0,0,201,1063,182,1,1075,1832,183,0,87,0,0,1,2532,0,186,0,                                                                                                    
R072,34TH STREET - HUDSON YARDS    ,25736,517,68,134,117,8457,12172,0,0,0,156,338,108,75,1909,824,359,0,283,0,0,0,305,0,25,0,                                                                                                    
R079,FIFTH AVENUE & 60TH STREET    ,37021,2407,177,374,170,12556,22124,0,0,0,278,822,378,268,3921,1609,740,0,595,0,0,0,524,0,69,0,                                                                                                    
R080,57TH STREET & 7TH AVENUE      ,77676,6225,356,1324,136,30581,64608,0,0,0,315,1536,839,236,10226,3687,1959,0,1334,0,0,0,2440,0,300,0,                                                                                                    
R081,49TH STREET & 7TH AVENUE      ,54880,2739,257,692,68,22515,40169,0,0,0,302,1398,476,81,7333,2140,1053,0,1157,0,0,0,1718,0,67,0,                                                                                                    
R082,28TH STREET & BROADWAY        ,30589,1214,140,340,29,14146,25829,0,0,0,122,566,236,31,3192,1093,909,0,549,0,0,0,461,0,39,0,                                                                                                    
R083,23RD STREET & 5TH AVENUE      ,54780,2495,242,579,122,21419,46782,0,0,0,483,1008,395,123,5912,2381,1425,0,950,0,0,0,1808,0,93,0,                                                                                                    
R084,59TH STREET/COLUMBUS CIRCLE   ,165465,12230,887,2709,407,69873,118531,0,0,0,516,2309,1894,688,13585,6527,3333,0,2960,0,0,0,11312,0,2191,0,                                                                                                    
R085,8TH STREET & BROADWAY         ,41950,2406,143,446,76,13056,32841,0,0,0,105,695,287,75,4681,1721,960,0,806,0,0,0,1548,0,44,0,                                                                                                    
R086,PRINCE STREET & BROADWAY      ,33519,1227,116,246,21,14450,24143,0,0,0,102,455,175,39,3065,987,691,0,773,0,0,0,612,0,108,0,                                                                                                    
R087,CITY HALL                     ,12225,1051,65,251,7,4096,10318,0,0,0,114,207,124,16,1229,520,343,0,169,0,0,0,1104,0,292,0,                                                                                                    
R088,CORTLANDT STREET              ,48158,1580,153,385,35,12841,28108,0,0,0,275,1066,211,60,4715,1816,1032,0,1027,0,0,0,1054,0,368,0,                                                                                                    
R089,JAY ST-METROTECH              ,9155,443,44,101,14,2520,7272,0,0,0,77,180,123,14,895,433,209,0,104,0,0,0,740,0,61,0,                                                                                                    
R090,39TH AVENUE & 31ST STREET     ,2207,155,33,50,3,1178,1922,0,0,0,6,26,79,1,248,63,60,0,49,0,0,0,186,0,5,0,                                                                                                    
R091,36TH AVENUE & 31ST STREET     ,12570,821,96,162,12,7132,12819,0,0,0,14,179,392,16,1322,282,394,0,118,0,0,0,1882,0,43,0,                                                                                                    
R092,BROADWAY & 31ST STREET        ,15741,1217,107,275,7,7313,19520,0,0,0,10,244,382,5,2631,560,693,0,186,0,0,0,2131,0,76,0,                                                                                                    
R093,30TH AVENUE & 31ST STREET     ,23928,1282,162,292,15,12452,27696,0,0,0,20,228,446,22,3827,611,957,0,274,0,0,0,1615,0,73,0,                                                                                                    
R094,ASTORIA BLVD & 31ST STREET    ,20842,1023,105,255,11,10907,21130,0,0,0,15,305,388,7,2948,583,619,0,207,0,0,0,1343,0,78,0,                                                                                                    
R095,DITMARS BLVD & 31ST STREET    ,29208,1596,155,263,23,12850,29457,0,0,0,21,403,743,16,3585,787,814,0,251,0,0,0,2774,0,66,0,                                                                                                    
R096,82ND STREET-JACKSON HEIGHTS   ,27025,2654,427,686,22,23663,17664,0,0,0,17,167,1046,13,1218,257,304,0,217,0,0,0,3964,0,256,0,                                                                                                    
R097,JUNCTION BLVD-ROOSEVELT AVE   ,44587,1494,294,496,18,41412,19304,0,0,0,14,139,792,9,1113,155,297,0,216,0,0,0,5963,0,381,0,                                                                                                    
R098,CHURCH AVENUE                 ,26470,1897,504,778,18,23105,25633,0,0,0,25,257,773,9,3493,286,574,0,186,0,0,0,4345,0,274,0,                                                                                                    
R099,DEKALB AVENUE                 ,39216,2386,354,1157,49,17764,42502,0,0,0,59,657,537,44,5917,1472,1038,0,560,0,0,0,8983,0,204,0,                                                                                                    
R100,METROPOLITAN AVENUE           ,4738,256,44,127,0,2777,3583,0,0,0,3,98,65,0,332,146,31,0,17,0,0,0,1455,0,60,0,                                                                                                    
R101,145TH STREET                  ,37278,1907,406,794,13,36966,44449,0,0,0,79,187,867,22,4367,667,977,0,427,0,0,0,5245,0,373,0,                                                                                                    
R102,125TH STREET                  ,46726,3089,808,1290,62,40229,44674,0,0,0,88,321,1440,56,5164,832,1025,0,651,0,2,0,6642,2,481,0,                                                                                                    
R103,BROADWAY-EAST NEW YORK        ,13563,640,291,346,7,13264,7349,0,0,0,10,49,488,8,878,71,76,0,123,0,0,0,1984,0,151,0,                                                                                                    
R104,167TH ST-GRAND CONCOURSE      ,14680,756,198,259,0,17879,9313,0,0,0,7,46,575,4,1143,58,179,0,140,0,0,0,2643,0,305,0,                                                                                                    
R105,14TH STREET & 7TH AVENUE      ,48634,5414,364,1156,83,21597,37140,0,0,0,135,936,560,147,5126,2211,1089,0,869,0,0,0,3085,0,106,0,                                                                                                    
R106,CASTLE HILL AVENUE            ,11851,598,119,197,5,9678,6876,0,0,0,32,122,374,0,887,99,83,0,53,0,0,0,2335,0,234,0,                                                                                                    
R107,WESTCHESTER SQUARE            ,9169,562,133,275,2,7854,5985,0,0,0,63,46,356,5,741,128,69,0,39,0,0,0,2185,0,136,0,                                                                                                    
R108,BOROUGH HALL - COURT STREET   ,73028,7028,626,1538,257,26675,55564,0,0,0,351,1109,1208,378,8145,2659,1638,0,717,0,0,0,6743,0,989,0,                                                                                                    
R109,CHURCH AVENUE & NOSTRAND AV   ,16506,1133,333,440,9,13201,10504,0,0,0,17,115,680,6,1573,126,253,0,79,0,0,0,2553,0,271,0,                                                                                                    
R110,FLATBUSH AVE & NOSTRAND AV    ,31805,2101,714,910,30,24113,24226,0,0,0,79,350,679,10,3325,595,421,0,171,0,0,0,4417,0,586,0,                                                                                                    
R111,23RD STREET & 8TH AVENUE      ,49996,4603,411,1216,39,22881,41334,0,0,0,136,946,591,41,4632,2091,1186,0,1166,0,0,0,4960,0,139,0,                                                                                                    
R112,FORDHAM RD/GRAND CONCOURSE    ,20441,1089,239,388,20,21542,10935,0,0,0,37,122,582,16,1064,112,166,0,108,0,0,0,3459,0,287,0,                                                                                                    
R113,SEVENTH AVENUE & WEST 53RD    ,47157,1769,120,362,328,14855,25524,0,0,0,109,997,313,424,4444,2405,812,0,1283,0,0,0,853,0,78,0,                                                                                                    
R114,PARSONS BLVD & HILLSIDE AV    ,10874,626,177,357,4,9110,7965,0,0,0,9,89,401,1,680,126,105,0,112,0,0,0,3043,0,125,0,                                                                                                    
R115,169TH STREET & HILLSIDE AVE   ,15979,1069,219,420,3,8691,10914,0,0,0,11,130,578,1,665,213,178,0,136,0,0,0,2978,0,325,0,                                                                                                    
R116,50TH STREET & 7TH AVENUE      ,67644,3594,256,639,658,21840,35420,0,0,0,172,1511,479,786,6190,3237,1079,0,1431,0,0,0,2905,0,108,0,                                                                                                    
R117,242ND STREET & BROADWAY       ,12102,618,106,248,22,8910,7949,0,0,0,26,93,320,4,1015,289,81,0,82,0,0,0,1243,0,120,0,                                                                                                    
R118,CANAL STREET                  ,18859,3705,93,2359,7,6357,27284,0,0,0,96,243,381,38,1764,509,402,0,254,0,0,0,1425,0,62,0,                                                                                                    
R119,FORDHAM ROAD & JEROME AVE     ,15564,857,259,328,8,18835,8015,0,0,0,42,63,646,6,902,121,77,0,92,0,0,0,2717,0,360,0,                                                                                                    
R120,MORRISON AVE & WESTCHESTER    ,10325,463,151,164,0,12688,4794,0,0,0,3,55,406,0,483,20,56,0,38,0,0,0,2032,0,145,0,                                                                                                    
R121,QUEENSBORO PLAZA              ,28144,1181,204,369,45,16786,28912,0,0,0,65,256,396,123,4312,791,782,0,462,0,0,0,4017,0,77,0,                                                                                                    
R122,90TH STREET/ELMHURST AVENUE   ,32604,2222,270,679,4,29858,19718,0,0,0,19,153,911,1,1109,201,319,0,251,0,0,0,5070,0,261,0,                                                                                                    
R123,FRANKLIN AVE/EASTERN PKWY     ,23189,1357,304,458,10,15722,27788,0,0,0,40,255,543,7,4214,388,726,0,279,0,0,0,2648,0,927,0,                                                                                                    
R124,KINGSTON AVE/EASTERN PKWY     ,10763,856,160,295,1,5331,6179,0,0,0,3,99,316,5,705,177,227,0,79,0,0,0,1635,0,76,0,                                                                                                    
R125,BROAD STREET & WALL STREET    ,12693,544,46,109,8,5125,10584,0,0,0,90,338,56,16,1665,497,275,0,190,0,0,0,1358,0,37,0,                                                                                                    
R126,175TH STREET/FT WASHINGTON    ,27717,1958,253,402,4,13984,16605,0,0,0,27,307,1005,6,1708,538,462,0,316,0,0,0,1786,0,229,0,                                                                                                    
R127,JAY ST-METROTECH              ,80953,4557,718,1364,99,34529,60222,0,0,0,224,1112,988,122,8266,2425,1494,0,1014,0,0,0,9919,0,2212,0,                                                                                                    
R128,SUTPHIN BLVD-HILLSIDE AVE     ,9000,637,88,210,7,5639,5823,0,0,0,5,63,321,6,438,116,108,0,144,0,0,0,1061,0,93,0,                                                                                                    
R129,BERGEN STREET-SMITH STREET    ,23655,1704,109,327,4,9928,22354,0,0,0,22,425,178,4,3243,978,722,0,361,0,0,0,3840,0,90,0,                                                                                                    
R130,KINGS HIGHWAY-MCDONALD AVE    ,7476,715,59,323,1,3762,5810,0,0,0,1,101,156,1,276,259,73,0,46,0,0,0,1148,0,39,0,                                                                                                    
R131,23RD STREET-PARK AVE SOUTH    ,73274,3825,322,812,218,24734,55324,0,0,0,851,1156,647,238,5553,2698,1391,0,860,0,0,0,4875,0,199,0,                                                                                                    
R132,125TH STREET-LEXINGTON AVE    ,44649,3331,838,1479,283,37829,30678,0,0,0,150,352,1909,484,4387,1150,603,0,363,0,2,0,6281,2,368,0,                                                                                                    
R133,MOSHOLU PARKWAY-JEROME AVE    ,14502,1013,146,259,9,11912,7977,0,0,0,48,99,526,2,1526,175,110,0,78,0,0,0,3242,0,312,0,                                                                                                    
R134,HUNTERS PT AVE-49TH AVE       ,15214,703,103,176,570,3681,6170,0,0,0,91,163,120,703,1963,1031,194,0,113,0,0,0,160,0,22,0,                                                                                                    
R135,NEWKIRK AVE-NOSTRAND AVE      ,13150,1043,313,346,1,10572,8101,0,0,0,8,102,331,1,1151,85,130,0,80,0,0,0,2661,0,324,0,                                                                                                    
R136,SHEEPSHEAD BAY ROAD           ,27415,2867,248,989,13,8984,20561,0,0,0,30,700,686,4,1905,863,324,0,147,0,0,0,3713,0,119,0,                                                                                                    
R137,MYRTLE AVE-GATES AVENUE       ,36615,1352,224,443,18,33166,33741,0,0,0,34,214,924,8,2951,279,546,0,360,0,0,0,4929,0,300,1,                                                                                                    
R138,WEST 4TH ST-WASHINGTON SQ     ,94748,5991,378,1192,115,38795,75044,0,0,0,501,1667,896,173,8095,3779,2133,0,2097,0,0,0,2891,0,146,0,                                                                                                    
R139,CANAL STREET-LISPENARD ST     ,48993,2032,140,408,216,17392,32716,0,0,0,121,655,379,457,3732,2103,1096,0,896,0,0,0,1593,0,93,0,                                                                                                    
R140,QUEENS PLAZA-JACKSON AVE      ,26780,1010,185,501,44,14975,29847,0,0,0,67,257,317,45,3858,710,675,0,577,0,0,0,3368,0,56,0,                                                                                                    
R141,71ST AVE-CONTINENTAL AVE      ,47227,6002,502,1814,55,19959,42811,0,0,0,93,1221,1150,51,4352,1913,826,0,420,0,0,0,4984,0,269,0,                                                                                                    
R142,ESSEX ST-DELANCEY ST          ,50158,2781,345,1061,40,27147,39085,0,0,0,144,614,951,23,4742,1148,884,0,945,0,0,0,8641,0,171,0,                                                                                                    
R143,28TH STREET-PARK AVE SOUTH    ,43704,2355,143,456,168,14827,29889,0,0,0,141,883,399,111,5308,1567,897,0,621,0,0,0,1209,0,95,0,                                                                                                    
R144,96TH STREET-LEXINGTON AVE     ,34785,3445,230,631,38,15487,30089,0,0,0,201,452,632,93,3018,1397,905,0,406,0,0,0,4005,0,78,0,                                                                                                    
R145,241ST ST-WHITE PLAINS RD      ,10259,563,123,96,3,7251,3206,0,0,0,10,43,411,0,380,33,55,0,28,0,0,0,1575,4,116,0,                                                                                                    
R146,HUNTS PT AVE-SOUTHERN BLVD    ,15183,822,180,340,5,18721,9092,0,0,0,25,74,567,0,1287,96,76,0,70,0,0,0,3424,0,181,0,                                                                                                    
R147,61ST STREET-ROOSEVELT AVE     ,26193,1944,205,563,220,14425,21031,0,0,0,11,268,563,256,1427,613,383,0,314,0,0,0,3505,0,127,0,                                                                                                    
R148,PARKSIDE AVE-OCEAN AVE        ,10468,712,164,288,1,8227,12108,0,0,0,12,94,361,1,1566,160,291,0,126,0,0,0,1062,0,48,0,                                                                                                    
R149,NEWKIRK PLAZA                 ,18483,1857,272,582,4,11981,17043,0,0,0,26,240,481,5,1685,398,364,0,140,0,0,0,2886,0,112,0,                                                                                                    
R150,AVENUE U-EAST 16TH STREET     ,13090,1712,126,940,1,5803,13832,0,0,0,14,207,336,0,660,314,163,0,58,0,0,0,2119,0,53,0,                                                                                                    
R151,STILLWELL AVE-CONEY ISLAND    ,18216,1575,291,1241,1,13516,12688,0,0,0,15,83,592,5,599,123,127,0,116,0,2,0,3071,0,113,0,                                                                                                    
R152,ROCKAWAY PKWY-GLENWOOD RD     ,17525,937,316,530,5,16810,11658,0,0,0,41,145,541,1,2051,200,148,0,87,0,0,0,2266,0,227,0,                                                                                                    
R153,UTICA AVE-STUYVESANT AVE      ,24878,1197,460,447,5,24992,23401,0,0,0,19,192,680,1,2761,272,508,0,401,0,0,0,4320,0,245,0,                                                                                                    
R154,TREMONT AVE-179TH ST          ,15561,822,239,326,2,19402,9027,0,0,0,16,76,610,0,1049,136,171,0,76,0,2,0,3172,0,405,0,                                                                                                    
R155,KINGSBRIDGE RD-196TH ST       ,14081,722,164,243,6,14911,8197,0,0,0,21,48,468,7,897,66,149,0,96,0,0,0,3062,0,313,0,                                                                                                    
R156,BEDFORD PARK BLVD-203RD ST    ,11877,765,169,229,6,11180,8695,0,0,0,27,87,377,5,1110,124,113,0,81,0,0,0,3189,0,202,0,                                                                                                    
R157,205TH ST-BAINBRIDGE AVE       ,15161,850,141,314,12,13725,9480,0,0,0,18,94,369,1,1338,123,164,0,91,0,0,0,2633,0,318,0,                                                                                                    
R158,UNION TURNPIKE-KEW GARDENS    ,32476,3171,542,1591,39,23328,36610,0,0,0,118,531,919,32,3745,1020,494,0,321,0,0,0,2825,0,245,0,                                                                                                    
R159,116TH STREET-COLUMBIA         ,44640,2722,145,460,95,10200,28373,0,0,0,90,305,355,124,1259,1656,834,0,939,0,0,0,1213,0,39,0,                                                                                                    
R160,ASTOR PLACE-4 AVENUE          ,40170,2300,145,463,84,14530,30251,0,0,0,76,694,318,142,4002,1466,747,0,718,0,0,0,2128,0,88,0,                                                                                                    
R161,KINGSBRIDGE RD-JEROME AVE     ,15909,796,218,265,6,15958,8126,0,0,0,30,53,522,0,851,127,245,0,91,0,0,0,3871,0,369,0,                                                                                                    
R162,ELDER AVE-WESTCHESTER AVE     ,11979,540,91,153,5,13815,4807,0,0,0,5,57,417,0,395,54,103,0,36,0,0,0,2801,0,168,0,                                                                                                    
R163,14TH STREET-6TH AVENUE        ,50319,2758,237,659,35,19980,41217,0,0,0,184,1049,289,43,5857,2026,1213,0,824,0,0,0,3499,0,57,0,                                                                                                    
R164,66TH STREET-BROADWAY          ,50734,8903,421,1360,172,19773,39427,0,0,0,154,931,802,366,4328,2274,1026,0,790,0,0,0,9757,0,148,0,                                                                                                    
R165,TOMPKINSVILLE                 ,1894,86,7,25,0,682,233,0,0,0,6,3,2,0,11,24,14,0,2,0,0,0,376,0,6,0,                                                                                                    
R166,79TH STREET-BROADWAY          ,30581,4825,333,863,48,15153,26884,0,0,0,54,481,586,36,2876,1232,850,0,532,0,0,0,2431,0,45,0,                                                                                                    
R167,86TH STREET-BROADWAY          ,35352,6611,470,1089,37,18434,34370,0,0,0,104,610,954,47,3306,1611,1028,0,553,0,0,0,4016,0,87,0,                                                                                                    
R168,96TH STREET-BROADWAY          ,65912,11757,845,2561,89,37029,67484,0,0,0,183,1169,1943,119,7764,2848,1952,0,1033,0,0,0,6931,0,241,0,                                                                                                    
R169,137TH STREET-BROADWAY         ,22093,1741,291,444,21,21054,23078,0,0,0,34,91,794,21,1888,402,508,0,227,0,0,0,3971,0,216,0,                                                                                                    
R170,14TH STREET-UNION SQUARE      ,210647,14145,1507,3638,430,97112,179689,0,0,1,867,3327,2140,688,22031,8199,4926,0,3166,0,0,0,16837,0,707,0,                                                                                                    
R171,7TH AVENUE-PARK PLACE         ,18782,1632,114,319,1,6713,21772,0,0,1,16,316,207,2,3584,1066,632,0,279,0,0,0,1998,0,23,0,                                                                                                    
R172,BRIGHTON BEACH-CONEY ISLAND   ,23421,2779,233,859,6,9983,15773,0,0,0,18,266,693,8,593,358,197,0,153,0,0,0,3046,0,94,0,                                                                                                    
R173,207TH STREET-BROADWAY         ,13945,1486,216,544,5,11937,15270,0,0,0,33,140,672,6,1862,233,340,0,147,0,0,0,1937,0,166,0,                                                                                                    
R174,181ST STREET-FT WASH AVE      ,19744,2755,200,569,4,11733,21838,0,0,0,8,314,552,22,2353,629,584,0,275,0,0,0,2463,0,128,0,                                                                                                    
R175,8TH AVENUE-14TH STREET        ,98270,4638,410,1300,246,47889,71102,0,0,0,242,1646,898,319,11975,4032,2065,0,2465,0,0,0,8125,0,165,0,                                                                                                    
R176,33RD STREET-PARK AVENUE       ,67858,4385,334,796,130,24436,47482,0,0,0,702,1432,693,104,6844,2329,1287,0,1007,0,0,0,3695,0,102,0,                                                                                                    
R177,68TH STREET-HUNTER COLLEGE    ,56350,4704,296,758,167,21914,43480,0,0,0,388,692,805,255,3204,2052,947,0,455,0,0,0,4361,0,137,0,                                                                                                    
R178,77TH STREET-LEXINGTON AVE     ,50317,5291,267,798,81,19453,32684,0,0,0,187,889,883,143,3361,1948,988,0,673,0,0,0,3109,0,80,0,                                                                                                    
R179,86TH STREET-LEXINGTON AVE     ,84878,8977,740,1601,179,42720,67901,0,0,0,340,1570,1123,345,7831,3746,1948,0,1326,0,0,0,5482,0,271,0,                                                                                                    
R180,103RD STREET-LEXINGTON AVE    ,24584,2113,261,540,16,17907,18326,0,0,0,95,202,824,34,1745,550,447,0,224,0,0,0,5772,0,179,0,                                                                                                    
R181,110TH STREET-LEXINGTON AVE    ,18718,1641,227,513,8,15274,16101,0,0,0,59,132,522,11,1747,314,402,0,155,0,0,0,4226,0,223,0,                                                                                                    
R182,116TH STREET-LEXINGTON AVE    ,22308,1700,354,764,10,23426,20472,0,0,0,60,142,797,9,2044,474,344,0,241,0,0,0,5202,0,205,0,                                                                                                    
R183,BEDFORD PARK BLVD-JEROME AV   ,8508,418,118,147,1,7324,5043,0,0,0,17,59,258,0,535,100,74,0,40,0,0,0,4356,0,193,0,                                                                                                    
R184,CORTELYOU RD-EAST 16TH ST     ,12764,980,115,192,2,7323,11415,0,0,0,46,137,335,0,1307,224,251,0,115,0,0,0,2204,0,98,0,                                                                                                    
R185,DYCKMAN STREET-BROADWAY       ,11544,1021,92,291,3,8983,11125,0,0,0,12,130,426,2,1275,216,233,0,122,0,0,0,2192,0,145,0,                                                                                                    
R186,86TH ST-CENTRAL PARK WEST     ,16939,2348,114,462,22,7743,16767,0,0,0,38,361,265,41,2050,875,466,0,327,0,0,0,2469,0,33,0,                                                                                                    
R187,81ST STREET-MUSEUM            ,22659,2259,137,359,32,11600,15972,0,0,0,70,205,286,58,2098,868,455,0,854,0,0,0,1855,0,27,0,                                                                                                    
R188,50TH STREET-8TH AVENUE        ,48971,2540,247,731,201,20408,31343,0,0,0,136,669,560,177,3985,1879,962,0,1680,0,0,0,5996,0,104,0,                                                                                                    
R189,CHRISTOPHER ST-SHERIDAN SQ    ,25306,2346,121,412,20,9051,15566,0,0,0,46,432,280,51,1773,922,533,0,682,0,0,0,808,0,24,0,                                                                                                    
R190,23RD STREET-7TH AVENUE        ,32244,3079,290,799,66,14322,25532,0,0,1,122,562,482,71,3094,1309,756,0,603,0,0,0,2904,0,73,0,                                                                                                    
R191,103RD STREET-BROADWAY         ,21650,4747,284,1009,5,13600,22395,0,0,0,33,282,701,11,1928,700,576,0,444,0,0,0,2950,0,102,0,                                                                                                    
R192,110TH STREET-BROADWAY         ,25953,3495,237,860,20,11018,21626,0,0,0,49,237,505,40,1835,872,561,0,490,0,0,0,2921,0,76,0,                                                                                                    
R193,157TH STREET-BROADWAY         ,18587,1932,294,657,14,21354,21667,0,0,0,9,109,769,4,1641,267,369,0,223,0,0,0,2555,0,163,0,                                                                                                    
R194,BLEECKER ST-LAFAYETTE ST      ,35677,1682,157,352,55,16026,27401,0,0,0,68,692,241,118,3424,1326,690,0,731,0,0,0,1142,0,57,0,                                                                                                    
R195,161ST STREET-YANKEE STADIUM   ,33732,2204,445,829,20,34005,21981,0,0,0,44,183,1189,62,3195,400,368,0,290,0,2,0,6182,2,525,0,                                                                                                    
R196,PROSPECT PARK-EMPIRE BLVD     ,16101,1101,221,403,4,11859,19101,0,0,0,10,174,381,6,2390,310,511,0,223,0,0,0,2200,0,180,0,                                                                                                    
R197,36TH STREET-4TH AVENUE        ,27092,1509,147,639,34,15417,22772,0,0,0,40,285,391,27,1895,569,619,0,241,0,0,0,3574,0,140,0,                                                                                                    
R198,NOSTRAND AVE-FULTON ST        ,27353,1414,427,545,11,23835,30007,0,0,0,23,261,742,6,4119,368,709,0,577,0,0,0,3391,0,234,0,                                                                                                    
R199,KINGSTON AVE-THROOP AVE       ,11408,466,150,200,1,8990,10923,0,0,0,5,72,283,1,1331,202,255,0,215,0,0,0,2324,0,68,0,                                                                                                    
R200,EUCLID AVE-PITKIN AVE         ,18542,927,286,405,1,15094,9617,0,0,0,27,69,684,0,919,99,133,0,126,0,0,0,4238,2,276,0,                                                                                                    
R201,WOODHAVEN BLVD-QUEENS BLVD    ,33343,2882,369,1063,13,23068,29543,0,0,0,68,335,708,38,2519,511,426,0,308,0,0,0,5172,0,445,0,                                                                                                    
R202,63RD DRIVE-REGO PARK          ,30425,4838,380,1205,38,12843,26800,0,0,0,40,585,929,23,2378,749,567,0,259,0,0,0,2136,0,153,0,                                                                                                    
R203,23RD STREET-6TH AVENUE        ,29884,1588,159,478,30,10748,22689,0,0,0,124,815,254,19,2814,1295,731,0,512,0,0,0,904,0,48,0,                                                                                                    
R204,CHURCH AVE-MCDONALD AVE       ,16622,1693,229,729,8,10637,16377,0,0,0,20,189,450,5,1307,398,294,0,149,0,0,0,3318,0,142,0,                                                                                                    
R205,149TH ST-GRAND CONCOURSE      ,22084,1182,439,538,17,22270,13815,0,0,0,23,92,534,23,3315,224,186,0,111,0,0,0,5827,0,2562,0,                                                                                                    
R206,125TH STREET-LENOX AVENUE     ,22068,1939,526,789,54,21600,20813,0,0,0,65,133,840,34,2993,423,478,0,289,0,0,0,3818,0,257,0,                                                                                                    
R207,135TH STREET-LENOX AVENUE     ,22067,2393,495,887,20,19901,21104,0,0,0,44,109,1010,28,4493,259,534,0,216,0,0,0,4490,0,354,0,                                                                                                    
R208,103RD ST-ROOSEVELT AVE        ,39330,1082,235,405,8,44292,15815,0,0,0,11,98,958,8,922,392,355,0,186,0,0,0,5644,0,406,0,                                                                                                    
R209,STERLING ST-NOSTRAND AVE      ,10065,886,199,245,7,7074,9472,0,0,0,3,94,351,1,1279,165,282,0,72,0,0,0,1370,0,117,0,                                                                                                    
R210,BEVERLY RD-NOSTRAND AVE       ,8538,633,150,163,0,6083,5092,0,0,0,3,67,324,0,638,74,105,0,53,0,0,0,1588,0,135,0,                                                                                                    
R211,KINGS HIGHWAY-EAST 16TH ST    ,35215,3821,390,1479,13,15427,28834,0,0,0,57,646,805,6,1856,1065,380,0,144,0,0,0,4681,0,152,0,                                                                                                    
R212,59TH STREET-4TH AVENUE        ,28844,2000,239,938,14,16911,22915,0,0,0,65,178,631,13,1523,368,300,0,189,0,0,0,4134,0,264,0,                                                                                                    
R213,BAY RIDGE AVE-4TH AVENUE      ,12520,921,103,328,2,5508,10642,0,0,0,58,139,280,17,887,343,177,0,75,0,0,0,2496,0,93,0,                                                                                                    
R214,77TH STREET-4TH AVENUE        ,10610,906,77,206,0,3429,7842,0,0,0,32,268,179,1,816,288,190,0,69,0,0,0,1264,0,55,0,                                                                                                    
R215,86TH STREET-4TH AVENUE        ,13513,1049,142,562,1,8373,13064,0,0,0,103,247,256,1,1049,410,256,0,89,0,0,0,3729,0,437,0,                                                                                                    
R216,BAY RIDGE - 95TH STREET       ,11214,1141,96,225,2,3643,7618,0,0,0,31,167,254,11,826,477,236,0,89,0,0,0,1172,0,35,0,                                                                                                    
R217,HOYT ST-SCHERMERHORN ST       ,21942,1149,154,321,2,12255,17119,0,0,0,22,236,365,0,2640,504,499,0,438,0,0,0,1881,0,86,0,                                                                                                    
R218,ELMHURST AVE-BROADWAY         ,22064,2516,218,986,3,14231,27206,0,0,0,19,150,801,17,1402,224,367,0,226,0,0,0,3720,0,156,0,                                                                                                    
R219,67TH AVENUE-QUEENS BLVD       ,17605,2698,113,647,9,5175,16410,0,0,0,23,389,570,18,1792,631,437,0,159,0,0,0,3608,0,52,0,                                                                                                    
