UNIT,STATION,REMOTE, STATION,Station ID
R307,138/GRAND CONC,R307,138TH ST-GRAND CONCOURSE      ,391
R132,125 ST,R132,125TH STREET-LEXINGTON AVE    ,392
R182,116 ST,R182,116TH STREET-LEXINGTON AVE    ,393
R181,110 ST,R181,110TH STREET-LEXINGTON AVE    ,394
R180,103 ST,R180,103RD STREET-LEXINGTON AVE    ,395
R144,96 ST,R144,96TH STREET-LEXINGTON AVE     ,396
R179,86 ST,R179,86TH STREET-LEXINGTON AVE     ,397
R178,77 ST,R178,77TH STREET-LEXINGTON AVE     ,398
R177,68ST-HUNTER CO,R177,68TH STREET-HUNTER COLLEGE    ,399
R049,51 ST,R049,51ST STREET & LEXINGTON AVE   ,401
R045,GRD CNTRL-42 ST,R045,42ND STREET & GRAND CENTRAL   ,402
R046,GRD CNTRL-42 ST,R046,42ND STREET & GRAND CENTRAL   ,402
R047,GRD CNTRL-42 ST,R047,42ND STREET & GRAND CENTRAL   ,402
R176,33 ST,R176,33RD STREET-PARK AVENUE       ,403
R143,28 ST,R143,28TH STREET-PARK AVE SOUTH    ,404
R131,23 ST,R131,23RD STREET-PARK AVE SOUTH    ,405
R160,ASTOR PL,R160,ASTOR PLACE-4 AVENUE          ,407
R194,BLEECKER ST,R194,BLEECKER ST-LAFAYETTE ST      ,408
R322,SPRING ST,R322,SPRING STREET-LAFAYETTE ST    ,409
R463,CANAL ST,R463,CANAL ST-LAFAYETTE ST EAST    ,410
R044,BROOKLYN BRIDGE,R044,BROOKLYN BRIDGE               ,411
R318,FULTON ST,R318,FULTON STREET-LAFAYETTE AV    ,412
R041,BOWLING GREEN,R041,BOWLING GREEN & BATTERY PL    ,414
R042,BOWLING GREEN,R042,BOWLING GREEN & BROADWAY      ,414
R145,WAKEFIELD/241,R145,241ST ST-WHITE PLAINS RD      ,416
R444,NEREID AV,R444,238TH ST-WHITE PLAINS ROAD    ,417
R367,233 ST,R367,233RD ST-WHITE PLAINS ROAD    ,418
R366,225 ST,R366,225TH ST-WHITE PLAINS ROAD    ,419
R365,219 ST,R365,219TH ST-WHITE PLAINS ROAD    ,420
R364,GUN HILL RD,R364,GUNHILL RD-WHITE PLAINS RD    ,421
R363,BURKE AV,R363,BURKE AVE-WHITE PLAINS ROAD   ,422
R362,ALLERTON AV,R362,ALLERTON AV-WHITE PLAINS RD   ,423
R361,PELHAM PKWY,R361,PELHAM PKWY-WHITE PLAINS RD   ,424
R389,BRONX PARK EAST,R389,BRONX PARK EAST               ,425
R388,E 180 ST,R388,EAST 180TH ST-MORRIS PARK     ,426
R387,WEST FARMS SQ,R387,EAST TREMONT AVENUE-178 ST    ,427
R386,174 ST,R386,174TH STREET-SOUTHERN BLVD    ,428
R409,FREEMAN ST,R409,FREEMAN ST-SOUTHERN BLVD      ,429
R408,SIMPSON ST,R408,SIMPSON ST-WESTCHESTER AVE    ,430
R407,INTERVALE AV,R407,INTERVALE 163RD STREET        ,431
R406,PROSPECT AV,R406,PROSPECT AVENUE-WESTCHESTER   ,432
R405,JACKSON AV,R405,JACKSON AVENUE-WESTCHESTER    ,433
R053,3 AV-149 ST,R053,149TH STREET & 3RD AVENUE     ,434
R345,HARLEM 148 ST,R345,148TH STREET-LENOX AVENUE     ,436
R344,145 ST,R344,145TH STREET-LENOX AVENUE     ,437
R207,135 ST,R207,135TH STREET-LENOX AVENUE     ,438
R206,125 ST,R206,125TH STREET-LENOX AVENUE     ,439
R324,116 ST,R324,116TH STREET-LENOX AVENUE     ,440
R323,CENTRAL PK N110,R323,111TH STREET-LENOX AVENUE     ,441
R431,EASTCHSTER/DYRE,R431,DYRE AVENUE-LIGHT STREET      ,442
R292,BAYCHESTER AV,R292,BAYCHESTER AVE-TILLOTSON      ,443
R226,GUN HILL RD,R226,GUN HILL ROAD-SEYMOUR         ,444
R430,PELHAM PKWY,R430,PELHAM PKWY-ESPLANADE         ,445
R329,MORRIS PARK,R329,MORRIS PARK-PAULDING AVENUE   ,446
R055,FLUSHING-MAIN,R055,MAIN STREET                   ,447
R328,METS-WILLETS PT,R328,WILLETS PT BLVD-ROOSEVELT     ,448
R310,111 ST,R310,111TH STREET-ROOSEVELT AVE    ,449
R208,103 ST-CORONA,R208,103RD ST-ROOSEVELT AVE        ,450
R097,JUNCTION BLVD,R097,JUNCTION BLVD-ROOSEVELT AVE   ,451
R122,90 ST-ELMHURST,R122,90TH STREET/ELMHURST AVENUE   ,452
R096,82 ST-JACKSON H,R096,82ND STREET-JACKSON HEIGHTS   ,453
R018,74 ST-BROADWAY,R018,ROOSEVELT AVE/JACKSON HTS     ,454
R347,69 ST,R347,69TH STREET-ROOSEVELT AVE     ,455
R147,61 ST WOODSIDE,R147,61ST STREET-ROOSEVELT AVE     ,456
R327,52 ST,R327,52ND STREET-ROOSEVELT AVE     ,457
R223,46 ST BLISS ST,R223,46TH ST-BLISS ST              ,458
R261,40 ST LOWERY ST,R261,40TH STREET-LOWERY STREET     ,459
R291,33 ST-RAWSON ST,R291,33RD STREET-QUEENS BLVD       ,460
R121,QUEENSBORO PLZ,R121,QUEENSBORO PLAZA              ,461
R346,COURT SQ,R346,COURT SQ                      ,462
R134,HUNTERS PT AV,R134,HUNTERS PT AVE-49TH AVE       ,463
R276,VERNON-JACKSON,R276,JACKSON AVENUE-VERNON BLVD    ,464
R048,GRD CNTRL-42 ST,R048,42ND STREET & 3RD AVENUE      ,465
R054,5 AVE,R054,FIFTH AVENUE & 42ND STREET    ,466
R072,34 ST-HUDSON YD,R072,34TH STREET - HUDSON YARDS    ,471
R572,96 ST-2 AVE,R572,96TH STREET - 2 AVENUE        ,475
R571,86 ST-2 AVE,R571,86TH STREET - 2 AVENUE        ,476
R570,72 ST-2 AVE,R570,72ND STREET - 2 AVENUE        ,477
R070,ST. GEORGE,R070,ST GEORGE TERMINAL            ,501
R165,TOMPKINSVILLE,R165,TOMPKINSVILLE                 ,502
