UNIT,STATION,REMOTE, STATION,Station ID
R433,ALABAMA AV,R433,ALABAMA AVENUE-FULTON ST      ,91
R103,BROADWAY JCT,R103,BROADWAY-EAST NEW YORK        ,92
R432,CHAUNCEY ST,R432,CHAUNCEY STREET-ROCKAWAY AV   ,93
R381,HALSEY ST,R381,HALSEY STREET-BROADWAY        ,94
R380,GATES AV,R380,GATES AVENUE-BROADWAY         ,95
R379,KOSCIUSZKO ST,R379,KOSCIUSZKO STREET-BROADWAY    ,96
R378,MYRTLE AV,R378,MYRTLE AVENUE-BROADWAY        ,97
R377,FLUSHING AV,R377,FLUSHING AVE-BROADWAY         ,98
R353,LORIMER ST,R353,LORIMER STREET-BROADWAY       ,99
R352,HEWES ST,R352,HEWES STREET-BROADWAY         ,100
R460,MARCY AV,R460,MARCY AVENUE-BROADWAY         ,101
R142,DELANCEY/ESSEX,R142,ESSEX ST-DELANCEY ST          ,102
R311,BOWERY,R311,BOWERY STREET-DELANCEY ST     ,103
R044,CHAMBERS ST,R044,BROOKLYN BRIDGE               ,105
R014,FULTON ST,R014,FULTON STREET                 ,106
R125,BROAD ST,R125,BROAD STREET & WALL STREET    ,107
R100,METROPOLITAN AV,R100,METROPOLITAN AVENUE           ,108
R404,FRESH POND RD,R404,FRESH POND ROAD-68TH AVENUE   ,109
R403,FOREST AVE,R403,FOREST AVENUE-PUTNAM AVENUE   ,110
R402,SENECA AVE,R402,SENECA AVENUE-PALMETTO ST     ,111
R137,MYRTLE-WYCKOFF,R137,MYRTLE AVE-GATES AVENUE       ,112
R413,KNICKERBOCKER,R413,KNICKERBOCKER AVE-MYRTLE AV   ,113
R401,CENTRAL AV,R401,CENTRAL AVE-MYRTLE AVE        ,114
R175,8 AV,R175,8TH AVENUE-14TH STREET        ,115
R163,6 AV,R163,14TH STREET-6TH AVENUE        ,116
R330,3 AV,R330,3RD AVENUE-14TH STREET        ,118
R248,1 AV,R248,1ST AVENUE-14TH STREET        ,119
R235,BEDFORD AV,R235,BEDFORD AVE-NORTH 7TH ST      ,120
R268,LORIMER ST,R268,METROPOLITAN AVE-LORIMER ST   ,121
R249,GRAHAM AV,R249,GRAHAM AVE-METROPOLITAN AVE   ,122
R250,GRAND ST,R250,GRAND ST-BUSHWICK AVE         ,123
R265,MONTROSE AV,R265,MONTROSE AVENUE               ,124
R294,MORGAN AV,R294,MORGAN AVENUE-HARRISON PL     ,125
R279,JEFFERSON ST,R279,JEFFERSON STREET-WYCKOFF AV   ,126
